Date,Name,Value
2015-12-26,AAPL,75872000000.0
2015-09-26,AAPL,51501000000.0
2015-06-27,AAPL,49605000000.0
2015-03-28,AAPL,58010000000.0
2014-12-27,AAPL,74599000000.0
2014-09-27,AAPL,42123000000.0
2014-06-28,AAPL,37432000000.0
2014-03-29,AAPL,45646000000.0
2013-12-28,AAPL,57594000000.0
2013-09-28,AAPL,37472000000.0
2013-06-29,AAPL,35323000000.0
2013-03-30,AAPL,43603000000.0
2012-12-29,AAPL,54512000000.0
2012-09-29,AAPL,35966000000.0
2012-06-30,AAPL,35023000000.0
2012-03-31,AAPL,39186000000.0
2011-12-31,AAPL,46333000000.0
2011-09-24,AAPL,28270000000.0
2011-06-25,AAPL,28571000000.0
2011-03-26,AAPL,24667000000.0
2010-12-25,AAPL,26741000000.0
2010-09-25,AAPL,20343000000.0
2010-06-26,AAPL,15700000000.0
2010-03-27,AAPL,13499000000.0
2009-12-26,AAPL,15683000000.0
2009-06-27,AAPL,8337000000.0
Date,Name,Value
2015-03-31,MSFT,21729000000.0
2014-12-31,MSFT,26470000000.0
2014-06-30,MSFT,23382000000.0
2014-03-31,MSFT,20403000000.0
2013-12-31,MSFT,24519000000.0
2013-09-30,MSFT,18529000000.0
2013-06-30,MSFT,19896000000.0
2013-03-31,MSFT,20489000000.0
2012-12-31,MSFT,21456000000.0
2012-09-30,MSFT,16008000000.0
2012-06-30,MSFT,18059000000.0
2012-03-31,MSFT,17407000000.0
2011-12-31,MSFT,20885000000.0
2011-09-30,MSFT,17372000000.0
2011-06-30,MSFT,17367000000.0
2011-03-31,MSFT,16428000000.0
Date,Name,Value
2016-01-30,SHLD,7303000000.0
2015-10-31,SHLD,5750000000.0
2015-08-01,SHLD,6211000000.0
2015-05-02,SHLD,5882000000.0
2015-01-31,SHLD,8099000000.0
2014-11-01,SHLD,7207000000.0
2014-02-01,SHLD,10593000000.0
Date,Name,Value
2016-02-14,COST,27567000000.0
2015-11-22,COST,26627000000.0
2015-05-10,COST,25517000000.0
Date,Name,Value
2014-10-31,LOW,13681000000.0
2014-08-01,LOW,16599000000.0
2014-05-02,LOW,13403000000.0
2013-11-01,LOW,12957000000.0
2013-08-02,LOW,15711000000.0
2013-05-03,LOW,13088000000.0
2012-11-02,LOW,12073000000.0
2012-08-03,LOW,14249000000.0
2012-05-04,LOW,13153000000.0
2011-10-28,LOW,11852000000.0
2011-07-29,LOW,14543000000.0
2011-04-29,LOW,12185000000.0
2010-10-29,LOW,11587000000.0
2010-07-30,LOW,14361000000.0
2010-04-30,LOW,12388000000.0
2009-10-30,LOW,11375000000.0
2009-07-31,LOW,13844000000.0
Date,Name,Value
2015-12-31,AMZN,35747000000.0
2015-09-30,AMZN,25358000000.0
2015-06-30,AMZN,23185000000.0
2015-03-31,AMZN,22717000000.0
2014-12-31,AMZN,29328000000.0
2014-09-30,AMZN,20579000000.0
2014-06-30,AMZN,19340000000.0
2013-12-31,AMZN,25587000000.0
2013-09-30,AMZN,17092000000.0
2013-06-30,AMZN,15704000000.0
2013-03-31,AMZN,16070000000.0
2012-12-31,AMZN,17431000000.0
2012-09-30,AMZN,13806000000.0
2012-06-30,AMZN,12834000000.0
2012-03-31,AMZN,13185000000.0
2011-12-31,AMZN,17431000000.0
2011-09-30,AMZN,10876000000.0
2011-06-30,AMZN,9913000000.0
2011-03-31,AMZN,9857000000.0
2010-12-31,AMZN,12948000000.0
2010-09-30,AMZN,7560000000.0
2010-06-30,AMZN,6566000000.0
2010-03-31,AMZN,7131000000.0
2009-09-30,AMZN,5449000000.0
2009-06-30,AMZN,4651000000.0
Date,Name,Value
2014-09-06,SWY,8307900000.0
2014-06-14,SWY,8307200000.0
2013-09-07,SWY,8622000000.0
2013-06-15,SWY,8696100000.0
2013-03-23,SWY,9994000000.0
2012-09-08,SWY,10049100000.0
2012-06-16,SWY,10386900000.0
2012-03-24,SWY,10003000000.0
2011-09-10,SWY,10064300000.0
2011-06-18,SWY,10196400000.0
2011-03-26,SWY,9772000000.0
2010-09-11,SWY,9399600000.0
2010-06-19,SWY,9519500000.0
2010-03-27,SWY,9327100000.0
2009-09-12,SWY,9458300000.0
2009-06-20,SWY,9462100000.0
2009-03-28,SWY,9236400000.0
